City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,kupang,-10.1667,123.5833,28.32,78,100,6.17,ID,1719953908
373,rice lake,45.5061,-91.7382,19.18,88,100,3.6,US,1719953909
374,khromtau,50.2503,58.4347,18.39,79,10,2.44,KZ,1719953910
375,shache,38.4167,77.2406,26.88,27,0,2.23,CN,1719953911
376,tangermunde,52.5446,11.9765,13.3,84,100,4.46,DE,1719953913
377,thap than,15.4606,99.8917,29.84,65,100,1.69,TH,1719953914
378,mugia,43.1041,-9.2179,17.87,85,44,9.31,ES,1719953915
379,jacksonville,30.3322,-81.6556,32.34,75,75,5.66,US,1719953683
380,inhambane,-23.865,35.3833,19.72,74,21,1.84,MZ,1719953917
381,el jadid,33.2549,-8.506,20.67,86,0,3.06,MA,1719953919
382,ormara,25.2088,64.6357,28.92,90,0,3.63,PK,1719953920
383,labuan bajo,-8.4964,119.8877,23.91,91,100,0.94,ID,1719953921
384,fale old settlement,-9.3852,-171.2468,28.82,73,28,8.13,TK,1719953922
385,kittila,67.6647,24.8936,10.34,100,75,2.06,FI,1719953923
386,khilok,51.3674,110.4676,15.82,73,40,1.84,RU,1719953924
387,quellon,-43.1167,-73.6167,6.67,76,69,3.88,CL,1719953926
388,novokayakent,42.3937,47.9861,21.42,68,100,2.19,RU,1719953927
389,yuzhno-kurilsk,44.0306,145.8556,16.48,65,27,2.46,RU,1719953928
390,sudislavl',57.8817,41.7083,20.86,75,46,2.39,RU,1719953929
391,naze,28.3667,129.4833,26.51,90,41,3.73,JP,1719953930
392,karasu,41.071,30.7854,21.67,65,1,0.91,TR,1719953746
393,broken hill,-31.95,141.4333,3.53,86,0,4.65,AU,1719953933
394,fuyu,45.1833,124.8167,18.67,78,100,3.28,CN,1719953934
395,lamu,-2.2717,40.902,25.18,82,93,7.56,KE,1719953935
396,shaowu,27.3409,117.4831,24.0,95,77,0.74,CN,1719953936
397,san fernando,15.0286,120.6898,27.85,87,99,0.82,PH,1719953592
398,barcelos,41.5388,-8.6151,24.82,74,3,1.79,PT,1719953941
399,lewistown,40.5992,-77.5714,29.19,100,49,4.01,US,1719953942
400,nuku'alofa,-21.1333,-175.2,22.19,88,20,2.57,TO,1719953944
401,sao vicente,-23.9631,-46.3919,25.08,56,75,3.13,BR,1719953945
402,melati,-7.7333,110.3667,22.0,98,76,1.85,ID,1719953946
403,island harbour,50.724,-1.2758,16.07,73,100,2.15,GB,1719953947
404,saint-philippe,-21.3585,55.7679,18.77,71,44,4.63,RE,1719953949
405,kerikeri,-35.2268,173.9474,10.65,77,56,1.06,NZ,1719953950
406,bereznik,62.8551,42.7072,15.93,76,8,0.84,RU,1719953951
407,hirara,24.8,125.2833,28.92,94,20,3.09,JP,1719953952
408,khandyga,62.6667,135.6,17.46,61,41,1.38,RU,1719953954
409,san carlos del zulia,9.0,-71.9135,33.01,56,100,3.18,VE,1719953955
410,new plymouth,-39.0667,174.0833,5.73,100,13,4.64,NZ,1719953956
411,zuunmod,47.7069,106.9528,13.57,64,2,1.56,MN,1719953957
412,molde,62.7375,7.1591,10.99,87,75,4.12,NO,1719953958
413,nar'yan-mar,67.6713,53.087,12.3,94,100,5.97,RU,1719953959
414,hadibu,12.65,54.0333,26.62,81,83,9.03,YE,1719953961
415,kas,36.2018,29.6377,27.78,37,0,3.58,TR,1719953962
416,tommot,58.9564,126.2925,22.99,75,31,0.99,RU,1719953963
417,avenal,36.0041,-120.129,36.87,13,0,1.86,US,1719953964
418,nova sintra,14.8667,-24.7167,23.65,82,51,2.68,CV,1719953965
419,teguise,29.0605,-13.564,19.12,68,20,8.23,ES,1719953967
420,boyolangu,-8.1181,111.8935,23.38,96,60,0.84,ID,1719953968
421,novodvinsk,64.4165,40.8122,16.86,76,54,2.37,RU,1719953969
422,chernyshevskiy,63.0128,112.4714,12.07,78,0,1.38,RU,1719953970
423,malango,-2.9627,119.9001,19.94,100,100,0.98,ID,1719953971
424,dudinka,69.4058,86.1778,6.9,68,100,6.0,RU,1719953972
425,terrell,32.736,-96.2753,39.08,41,0,6.17,US,1719953974
426,horodnytsya,50.807,27.3168,15.45,97,100,4.86,UA,1719953975
427,alesund,62.4723,6.1549,11.29,89,75,5.66,NO,1719953976
428,grand rapids,42.9634,-85.6681,22.35,77,100,3.09,US,1719953977
429,kegen,43.0197,79.2203,6.56,87,1,1.77,KZ,1719953979
430,hengchun,22.0042,120.7439,29.27,80,13,6.01,TW,1719953980
431,sinabang,2.4803,96.3801,26.54,82,85,1.26,ID,1719953981
432,vila franca do campo,37.7167,-25.4333,22.23,99,33,1.45,PT,1719953982
433,nagqu,31.5,92.0,5.71,89,74,2.46,CN,1719953983
434,bamboo flat,11.7,92.7167,28.05,89,40,1.03,IN,1719953985
435,burang,30.25,81.1667,11.35,84,93,1.65,CN,1719953986
436,varna,43.2167,27.9167,25.24,77,36,2.57,BG,1719953987
437,vadso,70.0744,29.7487,8.09,93,75,8.23,NO,1719953988
438,haiku-pauwela,20.9219,-156.3051,27.92,67,75,9.26,US,1719953989
439,ujae,8.9322,165.7642,28.53,78,55,5.7,MH,1719953991
440,balsas,-7.5325,-46.0356,30.46,30,27,2.15,BR,1719953992
441,yuktae-dong,40.0247,128.1597,20.59,92,100,5.33,KP,1719953993
442,dosso,13.049,3.1937,29.48,58,35,3.11,NE,1719953995
443,trincomalee,8.5711,81.2335,27.67,77,100,7.6,LK,1719953996
444,sampit,-2.5333,112.95,22.69,99,100,0.75,ID,1719953997
445,santa cruz,-17.8,-63.1667,28.7,54,0,6.69,BO,1719953999
446,san kamphaeng,18.7449,99.1195,25.01,94,40,1.03,TH,1719954000
447,srandakan,-7.9386,110.2506,24.27,91,92,2.66,ID,1719954001
448,necochea,-38.5473,-58.7368,13.29,52,87,6.78,AR,1719954006
449,tejen,37.3834,60.5054,26.56,18,0,4.62,TM,1719954008
450,la gi,10.6667,107.7833,24.47,84,100,3.11,VN,1719954010
451,mumbwa,-14.9783,27.0619,15.34,49,0,2.26,ZM,1719954012
452,igarka,67.4667,86.5833,6.71,72,7,2.98,RU,1719954014
453,sumberpucung,-8.1586,112.4829,20.58,100,93,0.78,ID,1719954015
454,yeppoon,-23.1333,150.7333,15.14,87,99,3.07,AU,1719954016
455,christchurch,-43.5333,172.6333,7.05,89,75,6.69,NZ,1719953966
456,ingeniero jacobacci,-41.3427,-69.5448,2.77,59,5,7.95,AR,1719954018
457,rurrenabaque,-14.4413,-67.5278,29.83,69,20,1.54,BO,1719954020
458,berezovo,63.9381,65.0419,11.03,55,75,3.5,RU,1719954021
459,bubaque,11.2833,-15.8333,25.74,85,100,5.27,GW,1719954022
460,amurrio,43.05,-3.0,16.79,77,75,1.15,ES,1719954023
461,kaa-khem,51.6833,94.7333,18.92,66,61,1.85,RU,1719954024
462,lyskovo,56.0328,45.0422,21.74,68,88,2.78,RU,1719954027
463,uzgen,40.7699,73.3007,16.16,40,1,2.51,KG,1719954028
464,broome,42.2506,-75.833,27.88,52,100,2.24,US,1719954029
465,tiznit,29.5833,-9.5,20.91,69,0,1.2,MA,1719954030
466,freetown,8.484,-13.2299,24.87,86,57,2.7,SL,1719954031
467,ceeldheer,3.8488,47.1806,25.11,82,20,6.88,SO,1719954032
468,rio gallegos,-51.6226,-69.2181,0.03,59,0,2.57,AR,1719954034
469,mar del plata,-38.0023,-57.5575,17.01,50,0,4.12,AR,1719953797
470,port saint john's,-31.6229,29.5448,18.05,81,6,4.48,ZA,1719954036
471,bafq,31.6128,55.4107,37.13,17,87,4.86,IR,1719954037
472,taroa,8.7058,171.2275,27.96,81,61,8.11,MH,1719954038
473,pascagoula,30.3658,-88.5561,33.4,62,77,5.41,US,1719954040
474,matiari,25.5961,68.4467,31.15,67,0,7.74,PK,1719954041
475,curuca,-0.7289,-47.8481,25.33,93,100,2.09,BR,1719954042
476,puerto leguizamo,-0.1934,-74.7819,25.29,94,84,1.15,CO,1719954043
477,vilhena,-12.7406,-60.1458,31.12,30,0,4.63,BR,1719954044
478,turpan,42.9333,89.1667,27.91,42,75,1.03,CN,1719954045
479,touros,-5.1989,-35.4608,24.24,89,48,5.17,BR,1719954047
480,portland,45.5234,-122.6762,24.78,53,0,1.79,US,1719953990
481,qarauyl,48.9451,79.255,15.39,70,90,6.59,KZ,1719954050
482,luderitz,-26.6481,15.1594,12.45,85,5,3.9,NA,1719954051
483,nayoro,44.3506,142.4578,15.14,76,3,2.23,JP,1719954050
484,ljusdal,61.8288,16.0913,13.02,65,87,2.55,SE,1719954054
485,hotan,37.0997,79.9269,27.98,28,98,1.97,CN,1719954055
